,OrigCodeNew,DestCodeNew,TotalNoIntra,Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other,Oi1_origpop,Oi2_origsal,Dj1_destpop,Dj2_destsal,offset,Dist,unconstrainedEst1,log_Oi1_origpop,log_Dj2_destsal,log_Dist,unconstrainedEst2,fitted
1,E09000001,E09000002,6,City of London,00AA,Barking and Dagenham,00AB,6,0,3,3,0,0,0,0,0,0,0,0,12000,38300,56000,16200,0.0,15995.126278349044,121,9.392661928770137,9.692766521220475,9.680039347216415,20,20.4896139755403
2,E09000001,E09000003,14,City of London,00AA,Barnet,00AC,14,0,11,0,0,0,0,0,0,0,3,0,12000,38300,159000,18700,0.0,13935.493783112466,184,9.392661928770137,9.836278802842678,9.54219437402901,32,31.512549660712377
3,E09000001,E09000004,0,City of London,00AA,Bexley,00AD,0,0,0,0,0,0,0,0,0,0,0,0,12000,38300,112000,18300,0.0,17359.78532792213,116,9.392661928770137,9.814656338829513,9.761911622234779,22,22.31871323506041
4,E09000001,E09000005,16,City of London,00AA,Brent,00AE,16,0,10,0,3,0,0,0,0,0,3,0,12000,38300,127000,16500,0.0,13119.643272566242,183,9.392661928770137,9.711115659888671,9.48186587253745,28,27.914738733627708
5,E09000001,E09000006,0,City of London,00AA,Bromley,00AF,0,0,0,0,0,0,0,0,0,0,0,0,12000,38300,164000,19100,0.0,18740.607277079976,104,9.392661928770137,9.857443614034722,9.838447960661178,22,21.50203885423302
6,E09000001,E09000007,335,City of London,00AA,Camden,00AG,335,0,104,10,28,0,22,6,0,15,150,0,12000,38300,101000,19800,0.0,5742.755689958826,1148,9.392661928770137,9.893437216682626,8.655694459468187,121,120.62136019225332
33,E09000002,E09000001,3641,Barking and Dagenham,00AB,City of London,00AA,3641,0,1444,1788,55,0,244,27,63,9,11,0,56000,16200,12000,38300,0.0,15995.126278349044,1335,10.933106969717286,10.553205175168737,9.680039347216415,1264,1263.7810142519475
35,E09000002,E09000003,194,Barking and Dagenham,00AB,Barnet,00AC,194,0,29,28,8,0,119,6,4,0,0,0,56000,16200,159000,18700,0.0,25100.158360906644,265,10.933106969717286,9.836278802842678,10.13062943429944,206,205.726747855835
36,E09000002,E09000004,96,Barking and Dagenham,00AB,Bexley,00AD,96,0,6,6,4,0,74,6,0,0,0,0,56000,16200,112000,18300,0.0,9264.79430820701,1902,10.933106969717286,9.814656338829513,9.133976937523961,808,807.6569024658057
37,E09000002,E09000005,178,Barking and Dagenham,00AB,Brent,00AE,178,0,47,29,3,0,90,6,0,0,3,0,56000,16200,127000,16500,0.0,27855.911025074507,190,10.933106969717286,9.711115659888671,10.234800467900145,145,144.5630738910714
38,E09000002,E09000006,66,Barking and Dagenham,00AB,Bromley,00AF,66,0,7,10,0,0,45,0,4,0,0,0,56000,16200,164000,19100,0.0,19954.17563105725,428,10.933106969717286,9.857443614034722,9.901193705231712,294,294.25248284589287
39,E09000002,E09000007,1500,Barking and Dagenham,00AB,Camden,00AG,1500,0,801,387,24,0,216,19,42,3,5,3,56000,16200,101000,19800,0.0,20157.08380307798,435,10.933106969717286,9.893437216682626,9.911311059097004,308,307.8099090603645
66,E09000003,E09000001,7709,Barnet,00AC,City of London,00AA,7709,0,4948,1779,133,16,620,59,111,25,10,8,159000,18700,12000,38300,0.0,13935.493783112466,4995,11.976659481202368,10.553205175168737,9.54219437402901,9587,9586.88797646713
67,E09000003,E09000002,96,Barnet,00AC,Barking and Dagenham,00AB,96,0,9,3,0,0,74,3,4,0,3,0,159000,18700,56000,16200,0.0,25100.158360906644,651,11.976659481202368,9.692766521220475,10.13062943429944,1015,1014.7214011026072
69,E09000003,E09000004,34,Barnet,00AC,Bexley,00AD,34,0,3,8,0,0,23,0,0,0,0,0,159000,18700,112000,18300,0.0,29923.226371833236,518,11.976659481202368,9.814656338829513,10.30639025955802,968,968.4427328676517
70,E09000003,E09000005,5467,Barnet,00AC,Brent,00AE,5467,0,290,122,869,14,3541,244,57,68,245,17,159000,18700,127000,16500,0.0,7543.160690708479,7344,11.976659481202368,9.711115659888671,8.92839656291566,5683,5683.027638287504
71,E09000003,E09000006,76,Barnet,00AC,Bromley,00AF,76,0,14,14,3,0,39,0,0,0,6,0,159000,18700,164000,19100,0.0,32661.866406901496,453,11.976659481202368,9.857443614034722,10.393963511459367,919,918.6200127469943
72,E09000003,E09000007,12080,Barnet,00AC,Camden,00AG,12080,0,5741,989,884,25,3593,287,197,180,167,17,159000,18700,101000,19800,0.0,8560.28157088284,6843,11.976659481202368,9.893437216682626,9.054888362389523,6422,6421.899653421099
99,E09000004,E09000001,6580,Bexley,00AD,City of London,00AA,6580,0,60,5697,45,6,515,54,167,20,10,6,112000,18300,12000,38300,0.0,17359.78532792213,2267,11.626254150277232,10.553205175168737,9.761911622234779,3803,3803.149163195931
100,E09000004,E09000002,362,Bexley,00AD,Barking and Dagenham,00AB,362,0,3,11,15,0,285,16,13,0,8,11,112000,18300,56000,16200,0.0,9264.79430820701,3367,11.626254150277232,9.692766521220475,9.133976937523961,2231,2231.3262044459557
101,E09000004,E09000003,132,Bexley,00AD,Barnet,00AC,132,0,3,57,6,0,60,3,3,0,0,0,112000,18300,159000,18700,0.0,29923.226371833236,373,11.626254150277232,9.836278802842678,10.30639025955802,542,542.4429162116446
103,E09000004,E09000005,144,Bexley,00AD,Brent,00AE,144,0,12,57,6,0,62,3,4,0,0,0,112000,18300,127000,16500,0.0,30474.544302249393,317,11.626254150277232,9.711115659888671,10.324647001071122,430,430.18279634253406
104,E09000004,E09000006,4998,Bexley,00AD,Bromley,00AF,4998,0,13,164,645,10,3699,288,88,40,45,6,112000,18300,164000,19100,0.0,11733.551095428798,2475,11.626254150277232,9.857443614034722,9.370207632015358,2099,2098.575216692305
105,E09000004,E09000007,2470,Bexley,00AD,Camden,00AG,2470,0,66,1941,32,3,308,19,80,9,9,3,112000,18300,101000,19800,0.0,22882.65375302559,675,11.626254150277232,9.893437216682626,10.038134424477072,869,869.4983023234591
132,E09000005,E09000001,4145,Brent,00AE,City of London,00AA,4145,0,3327,372,90,3,246,16,38,37,13,3,127000,16500,12000,38300,0.0,13119.643272566242,4501,11.751942365440728,10.553205175168737,9.48186587253745,7034,7034.225424363614
133,E09000005,E09000002,40,Brent,00AE,Barking and Dagenham,00AB,40,0,10,6,0,0,24,0,0,0,0,0,127000,16500,56000,16200,0.0,27855.911025074507,422,11.751942365440728,9.692766521220475,10.234800467900145,591,590.6116895306111
134,E09000005,E09000003,6124,Brent,00AE,Barnet,00AC,6124,0,334,160,1622,7,3224,307,57,71,326,16,127000,16500,159000,18700,0.0,7543.160690708479,6648,11.751942365440728,9.836278802842678,8.92839656291566,4707,4707.262020270858
135,E09000005,E09000004,28,Brent,00AE,Bexley,00AD,28,0,5,6,4,0,10,0,3,0,0,0,127000,16500,112000,18300,0.0,30474.544302249393,399,11.751942365440728,9.814656338829513,10.324647001071122,636,636.1529504330241
137,E09000005,E09000006,66,Brent,00AE,Bromley,00AF,66,0,24,15,5,0,16,3,0,0,0,3,127000,16500,164000,19100,0.0,30382.25431000162,419,11.751942365440728,9.857443614034722,10.321613977149324,686,685.5273794169998
138,E09000005,E09000007,8105,Brent,00AE,Camden,00AG,8105,0,3661,994,915,19,1707,178,105,205,311,10,127000,16500,101000,19800,0.0,7774.388096353117,6627,11.751942365440728,9.893437216682626,8.958590032516632,4957,4956.737650431324
165,E09000006,E09000001,9855,Bromley,00AF,City of London,00AA,9855,0,173,8841,67,6,512,53,155,27,11,10,164000,19100,12000,38300,0.0,18740.607277079976,2849,12.007621706806335,10.553205175168737,9.838447960661178,6670,6670.25030351027
166,E09000006,E09000002,134,Bromley,00AF,Barking and Dagenham,00AB,134,0,3,10,0,0,118,3,0,0,0,0,164000,19100,56000,16200,0.0,19954.17563105725,1063,12.007621706806335,9.692766521220475,9.901193705231712,1480,1479.941588616313
167,E09000006,E09000003,162,Bromley,00AF,Barnet,00AC,162,0,21,68,3,0,57,3,4,0,6,0,164000,19100,159000,18700,0.0,32661.866406901496,458,12.007621706806335,9.836278802842678,10.393963511459367,937,936.708113571658
